561 512 1 4 2 2 2
1 4
200000000.0 0.3 1.0
1 1.0000000000 0.0000000000
2 0.9987954562 0.0490676743
3 0.9951847267 0.0980171403
4 0.9891765100 0.1467304745
5 0.9807852804 0.1950903220
6 0.9700312532 0.2429801799
7 0.9569403357 0.2902846773
8 0.9415440652 0.3368898534
9 0.9238795325 0.3826834324
10 0.9039892931 0.4275550934
11 0.8819212643 0.4713967368
12 0.8577286100 0.5141027442
13 0.8314696123 0.5555702330
14 0.8032075315 0.5956993045
15 0.7730104534 0.6343932842
16 0.7409511254 0.6715589548
17 0.7071067812 0.7071067812
18 0.6715589548 0.7409511254
19 0.6343932842 0.7730104534
20 0.5956993045 0.8032075315
21 0.5555702330 0.8314696123
22 0.5141027442 0.8577286100
23 0.4713967368 0.8819212643
24 0.4275550934 0.9039892931
25 0.3826834324 0.9238795325
26 0.3368898534 0.9415440652
27 0.2902846773 0.9569403357
28 0.2429801799 0.9700312532
29 0.1950903220 0.9807852804
30 0.1467304745 0.9891765100
31 0.0980171403 0.9951847267
32 0.0490676743 0.9987954562
33 0.0000000000 1.0000000000
34 1.0625000000 0.0000000000
35 1.0612201722 0.0521344040
36 1.0573837721 0.1041432116
37 1.0510000418 0.1559011291
38 1.0420843604 0.2072834671
39 1.0306582065 0.2581664411
40 1.0167491067 0.3084274696
41 1.0003905693 0.3579454692
42 0.9816220033 0.4066011469
43 0.9604886239 0.4542772868
44 0.9370413434 0.5008590329
45 0.9113366481 0.5462341657
46 0.8834364631 0.5902933726
47 0.8534080022 0.6329305110
48 0.8213236067 0.6740428644
49 0.7872605707 0.7135313895
50 0.7513009550 0.7513009550
51 0.7135313895 0.7872605707
52 0.6740428644 0.8213236067
53 0.6329305110 0.8534080022
54 0.5902933726 0.8834364631
55 0.5462341657 0.9113366481
56 0.5008590329 0.9370413434
57 0.4542772868 0.9604886239
58 0.4066011469 0.9816220033
59 0.3579454692 1.0003905693
60 0.3084274696 1.0167491067
61 0.2581664411 1.0306582065
62 0.2072834671 1.0420843604
63 0.1559011291 1.0510000418
64 0.1041432116 1.0573837721
65 0.0521344040 1.0612201722
66 0.0000000000 1.0625000000
67 1.1250000000 0.0000000000
68 1.1236448882 0.0552011336
69 1.1195828175 0.1102692829
70 1.1128235737 0.1650717838
71 1.1033834405 0.2194766123
72 1.0912851598 0.2733527024
73 1.0765578777 0.3265702619
74 1.0592370733 0.3790010851
75 1.0393644741 0.4305188614
76 1.0169879548 0.4809994801
77 0.9921614224 0.5303213289
78 0.9649446863 0.5783655872
79 0.9354033138 0.6250165121
80 0.9036084729 0.6701617176
81 0.8696367600 0.7136924447
82 0.8335700160 0.7555038242
83 0.7954951288 0.7954951288
84 0.7555038242 0.8335700160
85 0.7136924447 0.8696367600
86 0.6701617176 0.9036084729
87 0.6250165121 0.9354033138
88 0.5783655872 0.9649446863
89 0.5303213289 0.9921614224
90 0.4809994801 1.0169879548
91 0.4305188614 1.0393644741
92 0.3790010851 1.0592370733
93 0.3265702619 1.0765578777
94 0.2733527024 1.0912851598
95 0.2194766123 1.1033834405
96 0.1650717838 1.1128235737
97 0.1102692829 1.1195828175
98 0.0552011336 1.1236448882
99 0.0000000000 1.1250000000
100 1.1875000000 0.0000000000
101 1.1860696042 0.0582678633
102 1.1817818629 0.1163953541
103 1.1746471056 0.1742424384
104 1.1646825205 0.2316697574
105 1.1519121132 0.2885389636
106 1.1363666487 0.3447130542
107 1.1180835774 0.4000567009
108 1.0971069449 0.4544365759
109 1.0734872856 0.5077216734
110 1.0472815014 0.5597836250
111 1.0185527244 0.6104970087
112 0.9873701646 0.6597396517
113 0.9538089436 0.7073929241
114 0.9179499134 0.7533420249
115 0.8798794614 0.7974762589
116 0.8396893027 0.8396893027
117 0.7974762589 0.8798794614
118 0.7533420249 0.9179499134
119 0.7073929241 0.9538089436
120 0.6597396517 0.9873701646
121 0.6104970087 1.0185527244
122 0.5597836250 1.0472815014
123 0.5077216734 1.0734872856
124 0.4544365759 1.0971069449
125 0.4000567009 1.1180835774
126 0.3447130542 1.1363666487
127 0.2885389636 1.1519121132
128 0.2316697574 1.1646825205
129 0.1742424384 1.1746471056
130 0.1163953541 1.1817818629
131 0.0582678633 1.1860696042
132 0.0000000000 1.1875000000
133 1.2500000000 0.0000000000
134 1.2484943203 0.0613345929
135 1.2439809083 0.1225214254
136 1.2364706375 0.1834130931
137 1.2259816005 0.2438629025
138 1.2125390665 0.3037252249
139 1.1961754197 0.3628558466
