   15   16    1    3    2    2
    1    2
 1000.00  0.30  1.00
    1    0.0000    0.0000    .000
    2    0.5000    0.0000    .000
    3    1.0000    0.0000    .000
    4    1.5000    0.0000    .000
    5    2.0000    0.0000    .000
    6    0.0000    0.5000    .000
    7    0.5000    0.5000    .000
    8    1.0000    0.5000    .000
    9    1.5000    0.5000    .000
   10    2.0000    0.5000    .000
   11    0.0000    1.0000    .000
   12    0.5000    1.0000    .000
   13    1.0000    1.0000    .000
   14    1.5000    1.0000    .000
   15    2.0000    1.0000    .000
    1    1    2    7    1
    2    1    7    6    1
    3    2    3    8    1
    4    2    8    7    1
    5    3    4    9    1
    6    3    9    8    1
    7    4    5   10    1
    8    4   10    9    1
    9    6    7   12    1
   10    6   12   11    1
   11    7    8   13    1
   12    7   13   12    1
   13    8    9   14    1
   14    8   14   13    1
   15    9   10   15    1
   16    9   15   14    1
    1    1    1
    6    1    0
   11    1    0
    0    0    0
    0     0.0     0.0
    5   10    100.00
   10   15    100.00
    0    0     0.0
